precision,recall,ndcg,hr,MAP
0.12341059602649647,0.032443130293821815,0.2320720746853057,0.4273178807947159,0.01860507164628368
0.13294701986755705,0.03638623596297632,0.24867981814640736,0.4491721854304783,0.021049495722036037
0.14076158940398206,0.03864128516233345,0.26004041995030375,0.47334437086094283,0.02228618271756056
0.16079470198676574,0.04527742570067876,0.288072638193814,0.5210264900662356,0.026640430665207705
0.18033112582782726,0.05309411793069035,0.3180812405567177,0.5617549668874156,0.032144020993060386
0.19218543046359018,0.05777514579393866,0.3330518510133125,0.5854304635761503,0.03538296701030975
0.19986754966888914,0.060846124694405014,0.34177959916468903,0.6038079470198534,0.03722455610336795
0.20880794701988328,0.0645438536662335,0.3534973745753477,0.6245033112582579,0.03907795783964446
0.21397350993379102,0.06638534825991921,0.35790046245667195,0.6365894039734861,0.040236531937363755
0.21685430463577787,0.06794003842472025,0.36211564737148527,0.6468543046357347,0.041330361501906186
0.2194039735099505,0.06844731800505424,0.3659700216464476,0.6465231788079202,0.04217373335425355
0.220099337748361,0.06881513866387072,0.3651219514553783,0.6483443708608998,0.042715585487965606
0.22168874172187075,0.0683354054934732,0.3632166755538605,0.6498344370860649,0.04190484291843633
0.22105960264902277,0.06798950244195832,0.36390655619267803,0.6481788079469926,0.04190819947007146
0.21781456953643977,0.06726648947272,0.3571305763774613,0.6408940397350742,0.04123412922008186
0.21725165562915502,0.06626915853489407,0.35612013496911943,0.6375827814569295,0.04100970475476972
0.21923841059604252,0.06761272389832246,0.3591911256354447,0.6420529801324248,0.04157475885099415
0.2196688741722016,0.06680196766889714,0.3596373237418355,0.6402317880794453,0.041176529022788705
0.21950331125829406,0.0666954328739261,0.36095552590094565,0.6390728476820946,0.040986254588232726
0.21794701986756562,0.0664542896402895,0.35680437382418356,0.6370860927152078,0.040531207560515745
0.21711920529802903,0.06571505522173174,0.3547751635675313,0.6317880794701762,0.03997818999445936
0.2154304635761747,0.06546706240454012,0.3544641666660565,0.6336092715231558,0.039669127428713105
0.21503311258279748,0.06550312146025655,0.3528325396009696,0.6329470198675269,0.04012326234241258
0.21639072847683682,0.06586719928703548,0.3549554044756212,0.6341059602648775,0.04020800655199555
0.21665562913908842,0.06551410240399667,0.3547573991526009,0.6342715231787848,0.039833810634919635
0.21516556291392291,0.0647714708541129,0.3529932650260703,0.6332781456953414,0.039715996871719485
0.2149006622516715,0.0650035874122395,0.35253362979313446,0.6360927152317644,0.03934569412679597
0.21427152317882356,0.06477575435402937,0.35313221422819147,0.6304635761589183,0.03956739468079738
0.21337748344372406,0.06431160335691054,0.3506286220995809,0.6296357615893822,0.039179474607459276
0.2145033112582939,0.06453096103899839,0.3520083024349904,0.6319536423840835,0.0389957296808094
0.21327814569537934,0.06406119825383277,0.34963293677820273,0.6279801324503098,0.03882804339884766
0.21337748344372381,0.06418356827693888,0.34882317284485,0.6294701986754749,0.03896020111430204
0.21112582781458508,0.06297367983146375,0.34802430561377534,0.6283112582781243,0.03823812663662267
0.21301324503312807,0.06457805558972769,0.35062509848934176,0.6337748344370631,0.03906729461493632
0.21119205298014793,0.06356724886616794,0.34653884452559947,0.6291390728476605,0.03819630953309734
0.210298013245048,0.06314725063186448,0.34626287499373865,0.6263245033112375,0.03815433145347624
0.21350993377484992,0.06379730639055445,0.3495678899071219,0.6319536423840835,0.038400177069665226
0.2134768211920684,0.06440433824029582,0.35067436881363157,0.63096026490064,0.03881234545750692
0.21380794701988312,0.06455249742062828,0.3494151503950962,0.6302980132450111,0.03899415871614252
0.21215231788081054,0.06411133174336754,0.3475545957388724,0.6293046357615677,0.03836047967871868
0.21178807947021414,0.06391779437611732,0.3464695936266244,0.6268211920529592,0.03864963921032151
0.2111589403973658,0.06356812552981235,0.34640756019984403,0.6215231788079276,0.038507805365950325
0.21201986754968394,0.06383519730064462,0.3477084153559539,0.625993377483423,0.038600686873748326
0.21201986754968422,0.06410280253038901,0.34861004666954004,0.6269867549668664,0.03876610236247891
0.21069536423842566,0.06282771745933631,0.3463005215169791,0.622516556291371,0.03837791132789916
0.21072847682120716,0.06333247020815021,0.34537238422416283,0.6213576158940204,0.03828465374712867
0.21062913907286293,0.06376882527134904,0.34936889876970556,0.6241721854304434,0.03855549726082586
